,acc_mean,acc_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std
2x4x0.5,0.726984126984127,0.045453400200876105,0.702888055710339,0.04404240357442903,0.7674641148325358,0.029453540466174623
2x4x0.6,0.7206349206349207,0.039840953644475534,0.6927222740948231,0.03324309161711008,0.7698564593301436,0.0290746145500834
2x4x0.7,0.7365079365079364,0.05335789306022899,0.7074813189496998,0.05142811357588044,0.7684210526315789,0.028352058087916052
2x5x0.1,0.7238095238095238,0.06602106140661967,0.7004353062369993,0.06587214476903147,0.766267942583732,0.025621551646872794
2x5x0.2,0.7206349206349206,0.06106471130689256,0.7003951363631933,0.06332890715502715,0.7691387559808612,0.025682907360746063
2x5x0.3,0.7174603174603175,0.0638876564999935,0.6954622914303481,0.06597280302821984,0.7698564593301436,0.02588545489762113
2x5x0.4,0.711111111111111,0.05981410692513223,0.6863699256494689,0.05656524444476314,0.7691387559808612,0.02552924159140054
2x5x0.5,0.711111111111111,0.05192199121840022,0.6796664892044668,0.04476907363591383,0.7653110047846889,0.019258001720095667
2x5x0.6,0.711111111111111,0.05981410692513223,0.6795709744822312,0.06250420749740136,0.7696172248803828,0.027113823992156075
2x5x0.7,0.7206349206349206,0.055668818783333435,0.6870414176193901,0.06041035601726169,0.7698564593301436,0.026768613838655538
2x6x0.1,0.7206349206349206,0.06408453726408299,0.6978365947947506,0.06482835632887288,0.7674641148325358,0.02724543249284077
2x6x0.2,0.7174603174603175,0.0638876564999935,0.6954622914303481,0.06597280302821984,0.769377990430622,0.026725818265582582
2x6x0.3,0.7142857142857143,0.06734350297014714,0.6914559084981342,0.06934792269039748,0.7696172248803828,0.02656741380859193
2x6x0.4,0.7206349206349206,0.0697329607507573,0.6964289233047852,0.0696108655502382,0.7696172248803828,0.027206016791298852
2x6x0.5,0.7206349206349205,0.06106471130689438,0.695156194682828,0.060028054192039,0.7708133971291866,0.02676861383865761
2x6x0.6,0.7238095238095237,0.04840619264119737,0.6991314901560206,0.045548709551333603,0.7705741626794258,0.026699036198264497
2x6x0.7,0.7206349206349205,0.04840619264119852,0.6937703305106444,0.050101052634823645,0.7717703349282297,0.02762096152606779
3x2x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5220095693779905,0.03554815834901088
3x2x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5394736842105263,0.061526247813476515
3x2x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
3x2x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.554066985645933,0.08881286947659144
3x2x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5063995215311005,0.011402131975416214
3x2x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5498205741626794,0.07987741915772135
3x2x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5157894736842106,0.03530633648683909
3x3x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6048444976076555,0.11715708022453836
3x3x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6841507177033493,0.10619532409219382
3x3x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5796052631578947,0.07977625974998663
3x3x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5644736842105262,0.05285944583244441
3x3x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5184210526315789,0.02564945880212835
3x3x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5639354066985647,0.06763148268653273
3x3x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6187799043062201,0.12212337987451642
3x4x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.557177033492823,0.09091041888667402
3x4x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6567583732057416,0.10329100611702387
3x4x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6044258373205741,0.09748835933548608
3x4x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5988636363636364,0.10549156758309797
3x4x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5995215311004785,0.056167340742556505
3x4x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5604066985645932,0.05962554218537721
3x5x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6726674641148326,0.09505797678199712
3x5x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5986244019138756,0.10961721117478566
3x5x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6794856459330143,0.06110526250225397
3x5x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5934808612440191,0.1250353364581447
3x5x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6126794258373206,0.1246149434290339
3x5x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5788875598086124,0.09753077555613945
3x5x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6218301435406699,0.10140020660797329
3x6x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.7541866028708134,0.0334019186733105
3x6x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6054425837320574,0.11238442511528635
3x6x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6196172248803828,0.12168719578183966
3x6x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5283492822966507,0.06339092232864266
3x6x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6235645933014354,0.12584036213509014
3x6x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.6488636363636363,0.1364784179686748
3x6x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5829545454545454,0.1209512927563486
4x2x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x2x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x2x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x2x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x2x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x2x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x2x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x3x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x3x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x3x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x3x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x3x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x3x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x3x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x4x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x4x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x4x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x4x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x4x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x4x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x4x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x5x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
4x5x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x2x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x2x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x2x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x2x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x2x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x3x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x3x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x3x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x3x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x3x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x3x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x3x0.7,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x4x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x4x0.2,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x4x0.3,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x4x0.4,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x4x0.5,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x4x0.6,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
5x5x0.1,0.6984126984126984,1.4901161193847656e-08,0.5743954902833408,7.450580596923828e-09,0.5,0.0
default,0.7238095238095239,0.06106471130689165,0.7017112386693944,0.062375413217946166,0.7700956937799044,0.027429275578561042
